L_ORDERKEY,L_PARTKEY,L_SUPPKEY,L_LINENUMBER,L_QUANTITY,L_EXTENDEDPRICE,L_DISCOUNT,L_TAX,L_RETURNFLAG,L_LINESTATUS,L_SHIPDATE,L_COMMITDATE,L_RECEIPTDATE,L_SHIPINSTRUCT,L_SHIPMODE,L_COMMENT
1421,1361,85,6,12,153,0.01,0.01,N,O,1997-04-26,1997-05-23,1997-05-13,COLLECT COD,MAIL,urgent delivery needed
15125,1499,71,6,47,572,0.02,0.0,N,O,1998-05-16,1998-06-11,1998-06-11,NONE,FOB,regular customer request
10614,1921,33,7,23,363,0.01,0.04,A,O,1992-08-06,1992-09-19,1992-08-12,NONE,AIR,check packaging carefully
5369,1074,78,5,47,988,0.05,0.04,A,O,1997-03-24,1997-04-23,1997-04-15,DELIVER IN PERSON,TRUCK,delayed by supplier
19984,1870,32,4,25,951,0.03,0.01,R,F,1994-10-29,1994-12-20,1994-11-19,DELIVER IN PERSON,FOB,delayed by supplier
14414,1022,72,1,26,541,0.1,0.0,N,F,1994-12-15,1995-02-04,1995-01-06,DELIVER IN PERSON,REG AIR,regular customer request
8334,684,84,4,11,509,0.03,0.02,A,O,1992-05-10,1992-06-01,1992-05-20,DELIVER IN PERSON,RAIL,check packaging carefully
19718,1063,57,4,28,510,0.04,0.04,R,F,1998-09-10,1998-10-30,1998-09-23,NONE,MAIL,customer compliant regarding quality
4195,1590,77,3,16,524,0.02,0.08,N,F,1994-11-08,1994-11-28,1994-11-20,NONE,FOB,customer compliant regarding quality
1742,867,65,3,8,570,0.02,0.08,A,F,1992-04-15,1992-04-27,1992-04-19,DELIVER IN PERSON,RAIL,urgent delivery needed
11598,361,62,3,7,687,0.03,0.01,N,F,1993-05-16,1993-05-27,1993-06-08,DELIVER IN PERSON,AIR,customer compliant regarding quality
9704,824,37,6,4,242,0.0,0.08,R,F,1994-01-31,1994-02-21,1994-02-06,NONE,TRUCK,urgent delivery needed
18375,1814,37,4,12,940,0.04,0.08,R,O,1994-12-27,1995-01-07,1995-01-10,NONE,AIR,check packaging carefully
12659,4,12,5,43,354,0.04,0.01,R,O,1998-07-31,1998-09-25,1998-08-09,NONE,SHIP,customer compliant regarding quality
8676,1674,85,2,31,997,0.01,0.01,A,O,1997-06-22,1997-08-02,1997-07-04,TAKE BACK RETURN,REG AIR,check packaging carefully
3666,1337,57,6,37,671,0.01,0.0,A,O,1995-10-29,1995-12-03,1995-10-31,TAKE BACK RETURN,RAIL,delayed by supplier
3465,435,68,6,36,174,0.05,0.0,A,F,1997-02-16,1997-03-02,1997-03-06,DELIVER IN PERSON,SHIP,urgent delivery needed
4246,1331,70,7,32,887,0.02,0.08,A,F,1997-07-25,1997-08-28,1997-08-13,DELIVER IN PERSON,MAIL,delayed by supplier
12943,1909,19,2,48,292,0.01,0.02,R,F,1995-06-14,1995-07-26,1995-07-03,TAKE BACK RETURN,AIR,regular customer request
6109,874,31,4,48,546,0.1,0.02,R,F,1998-06-05,1998-06-29,1998-07-02,TAKE BACK RETURN,MAIL,fragile items inside
6981,916,53,3,42,780,0.03,0.04,R,O,1995-04-11,1995-05-02,1995-05-06,COLLECT COD,RAIL,urgent delivery needed
16143,1446,60,1,10,35,0.03,0.02,A,O,1992-03-12,1992-03-25,1992-04-09,COLLECT COD,SHIP,delayed by supplier
19473,261,43,3,8,438,0.05,0.04,N,F,1993-08-15,1993-09-26,1993-09-03,TAKE BACK RETURN,SHIP,delayed by supplier
9479,379,67,1,2,867,0.03,0.02,R,O,1993-04-24,1993-06-14,1993-05-16,NONE,REG AIR,check packaging carefully
2746,923,78,4,46,786,0.0,0.06,R,O,1996-12-24,1997-01-05,1997-01-02,NONE,MAIL,regular customer request
6899,977,25,4,2,934,0.01,0.04,N,O,1996-10-12,1996-11-06,1996-11-10,NONE,RAIL,urgent delivery needed
9293,1857,48,7,16,16,0.1,0.01,A,F,1994-09-25,1994-11-23,1994-10-13,COLLECT COD,REG AIR,customer compliant regarding quality
12885,1555,75,6,42,323,0.02,0.04,R,F,1996-01-31,1996-03-08,1996-02-14,DELIVER IN PERSON,MAIL,delayed by supplier
16745,1924,15,1,19,638,0.02,0.02,A,O,1996-01-13,1996-02-21,1996-01-31,NONE,RAIL,delayed by supplier
2064,432,84,4,20,393,0.04,0.0,R,O,1992-03-28,1992-04-27,1992-04-25,DELIVER IN PERSON,SHIP,check packaging carefully
2967,1870,33,2,48,339,0.01,0.04,R,F,1994-06-14,1994-06-27,1994-06-25,DELIVER IN PERSON,FOB,check packaging carefully
9305,1182,64,5,46,785,0.05,0.0,N,F,1994-10-19,1994-11-15,1994-10-27,DELIVER IN PERSON,FOB,fragile items inside
14204,1973,26,4,4,260,0.05,0.01,R,O,1992-03-24,1992-05-08,1992-04-21,COLLECT COD,SHIP,delayed by supplier
1687,947,28,7,40,567,0.03,0.08,N,F,1993-05-24,1993-07-04,1993-06-08,COLLECT COD,MAIL,fragile items inside
9011,1632,97,6,28,989,0.1,0.04,A,O,1992-09-17,1992-10-29,1992-09-29,COLLECT COD,TRUCK,urgent delivery needed
3350,336,52,7,39,417,0.04,0.01,A,O,1993-06-17,1993-08-15,1993-07-04,TAKE BACK RETURN,MAIL,customer compliant regarding quality
5288,26,27,1,20,264,0.05,0.01,A,O,1998-05-25,1998-06-27,1998-06-12,DELIVER IN PERSON,RAIL,urgent delivery needed
2327,1944,9,4,43,936,0.03,0.08,A,F,1997-04-27,1997-06-16,1997-05-11,DELIVER IN PERSON,TRUCK,fragile items inside
18900,110,25,1,48,560,0.1,0.08,R,O,1997-04-28,1997-06-26,1997-05-21,COLLECT COD,MAIL,fragile items inside
13913,1094,35,4,34,682,0.02,0.04,N,O,1992-08-30,1992-10-17,1992-09-20,NONE,REG AIR,check packaging carefully
15598,736,33,5,33,301,0.1,0.0,N,F,1992-11-15,1992-12-31,1992-11-18,COLLECT COD,MAIL,regular customer request
16903,979,45,4,18,859,0.05,0.06,A,O,1995-09-23,1995-10-17,1995-10-15,NONE,MAIL,regular customer request
17154,1192,36,7,43,771,0.1,0.0,A,O,1993-10-27,1993-11-27,1993-11-03,TAKE BACK RETURN,AIR,customer compliant regarding quality
13663,1142,97,7,31,949,0.04,0.08,N,F,1995-04-28,1995-05-20,1995-05-25,NONE,MAIL,regular customer request
10505,213,35,1,21,325,0.02,0.02,R,O,1998-07-15,1998-08-21,1998-07-26,TAKE BACK RETURN,AIR,regular customer request
972,280,7,2,26,315,0.03,0.02,R,F,1992-06-26,1992-08-10,1992-07-09,COLLECT COD,MAIL,regular customer request
2597,899,31,3,20,400,0.03,0.04,R,O,1997-12-18,1998-02-14,1998-01-02,NONE,REG AIR,customer compliant regarding quality
16702,1157,47,7,31,513,0.0,0.08,A,O,1993-01-08,1993-03-07,1993-01-10,NONE,TRUCK,urgent delivery needed
7988,1364,94,1,45,79,0.1,0.0,N,F,1992-11-24,1992-12-14,1992-12-19,DELIVER IN PERSON,RAIL,customer compliant regarding quality
19715,848,5,5,15,514,0.01,0.0,N,O,1998-10-06,1998-11-05,1998-10-09,DELIVER IN PERSON,AIR,check packaging carefully
5550,1289,25,5,6,807,0.03,0.06,N,O,1998-01-22,1998-02-11,1998-01-26,TAKE BACK RETURN,TRUCK,customer compliant regarding quality
16896,1571,88,5,40,282,0.02,0.08,R,F,1997-12-24,1998-02-03,1998-01-11,DELIVER IN PERSON,REG AIR,urgent delivery needed
9879,242,80,5,29,796,0.0,0.02,N,F,1996-07-11,1996-09-01,1996-08-08,TAKE BACK RETURN,RAIL,regular customer request
6869,1340,1,1,12,176,0.1,0.0,N,F,1998-05-23,1998-07-08,1998-06-19,COLLECT COD,TRUCK,regular customer request
17386,1893,23,5,47,654,0.02,0.01,R,O,1993-09-17,1993-10-19,1993-10-13,NONE,FOB,regular customer request
9019,308,16,2,12,45,0.02,0.08,R,F,1995-06-26,1995-08-15,1995-07-23,DELIVER IN PERSON,RAIL,fragile items inside
705,1426,90,7,38,548,0.03,0.08,A,F,1998-04-16,1998-05-28,1998-05-13,COLLECT COD,SHIP,delayed by supplier
1612,1468,34,6,23,417,0.01,0.01,R,O,1997-11-01,1997-12-20,1997-11-06,COLLECT COD,RAIL,delayed by supplier
10004,836,92,2,47,694,0.05,0.04,R,O,1997-10-07,1997-10-21,1997-10-12,NONE,SHIP,urgent delivery needed
5086,616,35,1,44,837,0.02,0.06,R,F,1992-01-02,1992-01-19,1992-01-14,TAKE BACK RETURN,AIR,delayed by supplier
9538,1050,78,7,6,959,0.0,0.0,N,F,1996-02-02,1996-03-30,1996-02-25,TAKE BACK RETURN,SHIP,delayed by supplier
3186,250,17,6,9,26,0.01,0.01,A,O,1997-11-27,1998-01-09,1997-12-22,DELIVER IN PERSON,RAIL,urgent delivery needed
2194,981,21,4,5,960,0.05,0.02,A,F,1993-11-12,1993-12-17,1993-11-13,DELIVER IN PERSON,TRUCK,customer compliant regarding quality
967,664,54,1,28,535,0.1,0.04,R,F,1994-11-12,1995-01-04,1994-11-29,NONE,MAIL,check packaging carefully
12847,1020,9,4,38,623,0.03,0.02,A,F,1992-11-10,1992-11-27,1992-11-12,COLLECT COD,SHIP,fragile items inside
17775,1912,94,6,2,109,0.03,0.04,A,F,1996-09-02,1996-10-07,1996-09-28,COLLECT COD,TRUCK,delayed by supplier
14552,493,19,7,47,19,0.05,0.0,R,F,1996-06-20,1996-08-02,1996-07-14,COLLECT COD,MAIL,delayed by supplier
11746,16,72,7,20,395,0.1,0.01,N,O,1992-09-16,1992-10-29,1992-09-30,DELIVER IN PERSON,AIR,urgent delivery needed
17133,1687,44,1,4,503,0.05,0.08,R,O,1996-09-10,1996-09-24,1996-09-18,DELIVER IN PERSON,FOB,check packaging carefully
8411,1872,65,7,24,898,0.05,0.02,A,F,1992-04-08,1992-04-24,1992-04-27,NONE,RAIL,urgent delivery needed
1592,1400,73,3,14,702,0.1,0.06,N,O,1998-09-24,1998-10-29,1998-10-05,TAKE BACK RETURN,FOB,fragile items inside
8549,898,67,7,18,979,0.03,0.01,A,F,1997-08-31,1997-10-27,1997-09-29,COLLECT COD,AIR,delayed by supplier
8647,1884,38,3,25,961,0.0,0.02,R,O,1992-11-11,1992-12-16,1992-11-19,NONE,RAIL,regular customer request
15456,527,58,7,22,187,0.01,0.01,N,O,1995-08-12,1995-09-10,1995-08-31,TAKE BACK RETURN,MAIL,regular customer request
3876,1535,56,7,46,409,0.1,0.08,A,O,1992-04-04,1992-05-25,1992-04-15,COLLECT COD,FOB,check packaging carefully
4259,801,64,4,10,14,0.04,0.02,A,O,1998-02-21,1998-03-26,1998-03-10,COLLECT COD,MAIL,urgent delivery needed
17982,1468,52,5,32,172,0.1,0.0,A,O,1996-11-23,1996-12-21,1996-12-15,DELIVER IN PERSON,TRUCK,customer compliant regarding quality
19081,1573,33,3,33,815,0.03,0.02,A,F,1995-04-08,1995-05-31,1995-04-25,COLLECT COD,FOB,urgent delivery needed
10460,527,35,3,32,305,0.1,0.08,N,O,1998-04-14,1998-05-07,1998-04-18,COLLECT COD,AIR,delayed by supplier
10457,44,18,1,37,230,0.03,0.06,R,F,1994-09-08,1994-11-04,1994-09-26,DELIVER IN PERSON,FOB,regular customer request
17312,861,30,5,3,530,0.03,0.08,N,O,1994-08-30,1994-09-14,1994-09-19,NONE,MAIL,urgent delivery needed
7657,430,86,4,2,847,0.03,0.06,R,O,1993-06-12,1993-07-16,1993-06-28,TAKE BACK RETURN,FOB,fragile items inside
15569,1616,29,1,38,44,0.04,0.04,A,F,1998-01-24,1998-02-05,1998-02-22,DELIVER IN PERSON,RAIL,regular customer request
7962,327,1,1,1,965,0.05,0.02,R,F,1996-04-09,1996-04-29,1996-04-18,TAKE BACK RETURN,AIR,check packaging carefully
7138,574,22,1,32,752,0.03,0.02,R,O,1997-05-19,1997-07-05,1997-06-08,NONE,FOB,urgent delivery needed
10450,731,6,1,5,498,0.03,0.04,A,F,1995-02-25,1995-03-13,1995-03-25,TAKE BACK RETURN,AIR,regular customer request
18107,843,5,3,31,630,0.01,0.08,R,F,1995-09-15,1995-10-12,1995-10-04,NONE,FOB,regular customer request
10962,1218,7,7,39,518,0.0,0.02,N,F,1996-08-19,1996-09-12,1996-09-07,COLLECT COD,MAIL,customer compliant regarding quality
9545,1634,50,5,13,173,0.04,0.04,N,O,1995-11-19,1995-12-14,1995-11-20,NONE,REG AIR,regular customer request
14869,1121,2,2,31,17,0.03,0.06,N,F,1992-03-25,1992-04-29,1992-04-18,COLLECT COD,TRUCK,fragile items inside
18822,1291,2,2,42,873,0.03,0.02,A,F,1996-05-02,1996-06-10,1996-05-30,TAKE BACK RETURN,FOB,customer compliant regarding quality
19083,1005,31,2,47,210,0.02,0.0,N,O,1995-05-20,1995-06-22,1995-05-31,NONE,MAIL,delayed by supplier
15179,1705,1,1,40,431,0.01,0.04,R,F,1994-03-24,1994-05-13,1994-04-20,DELIVER IN PERSON,FOB,fragile items inside
5470,1199,35,1,39,922,0.03,0.0,R,O,1998-04-05,1998-05-20,1998-04-19,DELIVER IN PERSON,AIR,delayed by supplier
11661,160,77,1,43,480,0.02,0.01,A,O,1997-06-04,1997-06-28,1997-07-02,COLLECT COD,REG AIR,regular customer request
18220,408,43,1,12,341,0.04,0.04,A,O,1998-10-25,1998-12-21,1998-11-14,COLLECT COD,RAIL,delayed by supplier
5533,121,8,7,35,210,0.02,0.0,A,O,1998-01-19,1998-02-22,1998-02-12,DELIVER IN PERSON,RAIL,check packaging carefully
12839,73,51,5,44,488,0.03,0.08,R,O,1995-10-18,1995-10-30,1995-11-11,COLLECT COD,AIR,customer compliant regarding quality
1951,354,16,6,48,355,0.1,0.01,A,O,1995-02-14,1995-03-11,1995-02-17,NONE,FOB,delayed by supplier
1921,1674,35,1,36,930,0.1,0.08,N,O,1995-06-10,1995-06-30,1995-06-20,TAKE BACK RETURN,MAIL,check packaging carefully
9264,1454,84,1,24,81,0.03,0.01,N,F,1994-03-10,1994-04-21,1994-03-30,COLLECT COD,RAIL,delayed by supplier
14665,1339,50,2,14,725,0.01,0.02,N,O,1996-08-16,1996-09-01,1996-08-24,TAKE BACK RETURN,RAIL,regular customer request
15012,742,93,4,30,172,0.0,0.04,R,O,1993-05-23,1993-06-21,1993-06-14,DELIVER IN PERSON,SHIP,urgent delivery needed
8426,1873,64,7,24,168,0.05,0.04,N,F,1995-02-26,1995-04-05,1995-03-23,DELIVER IN PERSON,FOB,delayed by supplier
16455,514,18,6,43,509,0.04,0.06,R,O,1992-10-12,1992-11-04,1992-10-31,COLLECT COD,MAIL,fragile items inside
4066,1162,19,4,13,216,0.0,0.08,N,O,1992-09-17,1992-10-11,1992-09-18,TAKE BACK RETURN,TRUCK,regular customer request
13783,1993,71,5,40,796,0.01,0.0,A,F,1997-01-17,1997-03-05,1997-01-30,TAKE BACK RETURN,SHIP,fragile items inside
6867,566,67,5,23,905,0.05,0.08,R,F,1997-12-30,1998-01-13,1998-01-05,TAKE BACK RETURN,SHIP,check packaging carefully
5885,1962,22,4,10,63,0.02,0.01,A,O,1994-01-18,1994-02-05,1994-02-03,COLLECT COD,SHIP,urgent delivery needed
18716,1266,69,4,8,931,0.05,0.0,R,O,1997-07-09,1997-08-21,1997-07-17,COLLECT COD,TRUCK,fragile items inside
6218,1818,4,6,49,175,0.04,0.06,A,O,1998-01-10,1998-01-27,1998-02-03,NONE,RAIL,check packaging carefully
9235,274,43,5,17,45,0.05,0.08,A,F,1995-04-08,1995-04-20,1995-05-03,NONE,SHIP,fragile items inside
14503,1084,99,7,9,261,0.02,0.08,A,F,1997-06-12,1997-07-23,1997-06-15,DELIVER IN PERSON,FOB,customer compliant regarding quality
16316,512,60,7,33,660,0.04,0.06,A,F,1997-09-18,1997-10-31,1997-09-23,DELIVER IN PERSON,RAIL,regular customer request
6406,1981,2,2,22,644,0.03,0.0,A,O,1994-01-03,1994-02-18,1994-01-19,DELIVER IN PERSON,FOB,regular customer request
11698,1057,77,7,3,635,0.04,0.08,N,O,1994-08-13,1994-09-01,1994-09-10,NONE,FOB,customer compliant regarding quality
19888,718,77,1,32,33,0.0,0.01,N,O,1992-02-24,1992-03-24,1992-03-02,DELIVER IN PERSON,REG AIR,customer compliant regarding quality
4224,1250,37,5,9,919,0.05,0.01,N,O,1995-05-24,1995-06-12,1995-06-15,DELIVER IN PERSON,RAIL,check packaging carefully
16939,1648,83,3,9,242,0.04,0.01,N,O,1998-01-29,1998-03-19,1998-02-15,DELIVER IN PERSON,AIR,urgent delivery needed
9443,1226,15,3,43,65,0.03,0.06,N,F,1992-08-03,1992-09-26,1992-08-26,COLLECT COD,FOB,fragile items inside
10615,285,95,2,42,809,0.02,0.01,N,F,1995-09-21,1995-11-19,1995-09-23,TAKE BACK RETURN,SHIP,delayed by supplier
16509,984,33,2,7,327,0.1,0.0,A,O,1994-11-13,1994-12-03,1994-12-12,TAKE BACK RETURN,SHIP,delayed by supplier
19798,776,39,3,2,817,0.03,0.04,N,F,1998-05-18,1998-05-30,1998-06-01,NONE,MAIL,regular customer request
11815,509,3,5,20,904,0.04,0.0,R,O,1993-02-12,1993-04-02,1993-02-20,COLLECT COD,TRUCK,regular customer request
1916,816,74,2,10,894,0.03,0.04,R,F,1992-01-08,1992-03-04,1992-01-31,TAKE BACK RETURN,TRUCK,urgent delivery needed
3057,1237,50,1,14,165,0.03,0.08,N,O,1995-11-08,1995-11-29,1995-12-03,DELIVER IN PERSON,RAIL,check packaging carefully
10743,154,3,7,13,296,0.05,0.0,R,O,1996-07-18,1996-08-05,1996-08-08,NONE,AIR,urgent delivery needed
11023,1734,66,2,19,898,0.01,0.01,N,O,1998-07-07,1998-08-28,1998-07-08,COLLECT COD,AIR,urgent delivery needed
19800,1420,85,7,5,462,0.01,0.04,N,O,1994-04-19,1994-06-06,1994-05-10,TAKE BACK RETURN,FOB,check packaging carefully
7117,1039,92,7,35,880,0.0,0.01,N,F,1995-04-17,1995-05-02,1995-05-13,TAKE BACK RETURN,AIR,fragile items inside
11208,1572,61,5,29,11,0.03,0.08,R,O,1993-09-23,1993-10-10,1993-10-16,NONE,TRUCK,customer compliant regarding quality
16045,1434,54,1,43,132,0.01,0.08,N,O,1993-05-13,1993-06-19,1993-05-30,TAKE BACK RETURN,REG AIR,check packaging carefully
1982,852,68,5,18,943,0.01,0.01,R,F,1992-10-17,1992-10-31,1992-11-06,COLLECT COD,FOB,customer compliant regarding quality
590,1905,43,4,20,50,0.05,0.04,N,F,1992-01-18,1992-02-13,1992-01-29,COLLECT COD,FOB,urgent delivery needed
19694,902,27,2,35,143,0.1,0.02,A,O,1995-12-13,1996-01-03,1995-12-18,DELIVER IN PERSON,SHIP,customer compliant regarding quality
854,1740,20,2,9,652,0.02,0.06,A,O,1994-11-30,1994-12-20,1994-12-21,COLLECT COD,REG AIR,regular customer request
10489,1053,89,6,11,807,0.0,0.0,A,F,1993-12-01,1994-01-15,1993-12-25,DELIVER IN PERSON,TRUCK,customer compliant regarding quality
16193,992,49,3,4,135,0.03,0.01,N,F,1996-05-16,1996-07-05,1996-05-17,COLLECT COD,REG AIR,fragile items inside
13758,16,43,2,46,680,0.1,0.04,N,O,1996-06-16,1996-07-04,1996-07-01,TAKE BACK RETURN,RAIL,urgent delivery needed
15558,211,60,2,26,967,0.01,0.02,N,O,1996-11-19,1996-12-12,1996-11-20,COLLECT COD,TRUCK,delayed by supplier
1255,1527,72,2,12,367,0.0,0.08,N,O,1993-04-09,1993-04-20,1993-04-13,TAKE BACK RETURN,REG AIR,delayed by supplier
19143,586,43,1,26,560,0.0,0.06,A,F,1995-12-15,1996-01-06,1996-01-10,TAKE BACK RETURN,REG AIR,urgent delivery needed
12189,1180,28,1,10,337,0.0,0.0,R,F,1993-11-24,1993-12-14,1993-12-15,NONE,RAIL,delayed by supplier
16603,122,65,2,25,196,0.04,0.04,R,O,1993-06-15,1993-06-26,1993-06-26,NONE,SHIP,fragile items inside
7148,134,43,6,24,483,0.02,0.02,N,O,1998-03-06,1998-03-29,1998-03-30,COLLECT COD,SHIP,delayed by supplier
6891,195,59,1,43,677,0.0,0.0,R,O,1993-12-08,1994-01-25,1993-12-18,TAKE BACK RETURN,RAIL,regular customer request
15617,639,44,2,10,139,0.0,0.02,A,F,1992-04-22,1992-06-15,1992-04-25,COLLECT COD,SHIP,fragile items inside
3805,526,83,6,42,640,0.03,0.08,A,F,1993-06-18,1993-07-28,1993-07-12,TAKE BACK RETURN,MAIL,regular customer request
6897,439,95,2,49,111,0.03,0.04,A,F,1992-03-27,1992-05-13,1992-04-24,NONE,AIR,fragile items inside
10335,1916,22,6,37,583,0.04,0.02,N,O,1992-11-28,1992-12-24,1992-12-01,DELIVER IN PERSON,MAIL,fragile items inside
3154,686,26,7,30,296,0.04,0.02,N,O,1996-08-25,1996-10-07,1996-08-31,NONE,REG AIR,regular customer request
3520,1381,57,6,38,441,0.04,0.06,R,O,1993-08-05,1993-10-01,1993-08-27,COLLECT COD,TRUCK,check packaging carefully
16018,1016,31,2,38,830,0.03,0.01,A,F,1997-08-02,1997-09-26,1997-08-25,COLLECT COD,FOB,delayed by supplier
584,1157,45,6,2,304,0.05,0.01,R,O,1998-04-02,1998-04-20,1998-04-23,TAKE BACK RETURN,RAIL,urgent delivery needed
15114,569,68,1,25,230,0.01,0.0,R,O,1997-04-12,1997-06-09,1997-04-30,COLLECT COD,REG AIR,urgent delivery needed
10798,606,81,4,4,20,0.02,0.02,R,F,1992-11-01,1992-12-01,1992-11-07,DELIVER IN PERSON,AIR,delayed by supplier
3979,1012,40,6,45,171,0.03,0.01,R,O,1995-09-11,1995-09-22,1995-10-06,TAKE BACK RETURN,MAIL,delayed by supplier
17126,1261,49,2,36,41,0.0,0.04,A,F,1996-06-22,1996-08-02,1996-07-20,TAKE BACK RETURN,FOB,urgent delivery needed
6145,495,98,4,16,978,0.04,0.02,A,F,1995-09-26,1995-10-06,1995-10-23,COLLECT COD,REG AIR,urgent delivery needed
4022,914,99,3,6,937,0.04,0.0,N,O,1993-08-20,1993-09-03,1993-08-28,COLLECT COD,SHIP,urgent delivery needed
19830,119,99,7,43,858,0.1,0.04,A,F,1998-06-02,1998-07-13,1998-06-27,TAKE BACK RETURN,TRUCK,urgent delivery needed
5789,278,2,6,5,168,0.01,0.01,R,F,1997-03-09,1997-05-03,1997-03-23,DELIVER IN PERSON,SHIP,check packaging carefully
12212,1269,85,6,4,298,0.01,0.04,N,O,1995-05-03,1995-05-18,1995-05-11,NONE,SHIP,delayed by supplier
12270,270,32,4,2,734,0.02,0.02,A,F,1995-02-18,1995-03-03,1995-03-06,TAKE BACK RETURN,FOB,customer compliant regarding quality
7697,1938,49,4,8,272,0.1,0.04,N,F,1994-02-11,1994-04-06,1994-02-26,NONE,FOB,customer compliant regarding quality
13332,1445,60,4,46,771,0.01,0.02,R,F,1992-07-06,1992-08-27,1992-07-07,DELIVER IN PERSON,MAIL,delayed by supplier
2658,1173,45,3,15,209,0.02,0.08,A,F,1995-08-19,1995-09-24,1995-09-10,COLLECT COD,MAIL,urgent delivery needed
6672,1844,91,3,43,669,0.02,0.04,R,O,1995-12-09,1996-01-22,1995-12-14,TAKE BACK RETURN,AIR,regular customer request
14529,1013,75,1,47,161,0.02,0.04,A,F,1992-01-07,1992-01-18,1992-01-31,TAKE BACK RETURN,RAIL,urgent delivery needed
2349,1209,31,6,44,711,0.04,0.04,A,F,1996-09-16,1996-10-26,1996-10-09,DELIVER IN PERSON,TRUCK,customer compliant regarding quality
2941,68,91,7,13,360,0.1,0.02,N,O,1993-08-11,1993-09-23,1993-08-22,NONE,SHIP,regular customer request
13382,660,9,7,44,361,0.04,0.04,R,F,1994-04-24,1994-05-24,1994-05-23,TAKE BACK RETURN,MAIL,urgent delivery needed
19921,1322,75,3,6,275,0.1,0.06,N,F,1997-08-01,1997-09-18,1997-08-13,COLLECT COD,REG AIR,delayed by supplier
10783,188,72,7,5,570,0.1,0.0,N,F,1993-08-14,1993-09-21,1993-09-04,DELIVER IN PERSON,FOB,fragile items inside
9283,1008,19,3,19,863,0.01,0.08,R,O,1997-09-09,1997-09-26,1997-09-18,TAKE BACK RETURN,REG AIR,urgent delivery needed
17712,1094,36,6,1,863,0.0,0.08,N,F,1992-10-11,1992-10-28,1992-11-01,DELIVER IN PERSON,SHIP,regular customer request
3814,1065,21,6,36,474,0.04,0.02,R,O,1998-02-02,1998-03-24,1998-02-04,TAKE BACK RETURN,RAIL,regular customer request
1523,1800,86,7,13,357,0.1,0.02,R,O,1996-01-04,1996-01-22,1996-01-06,TAKE BACK RETURN,AIR,fragile items inside
13069,265,39,2,17,982,0.0,0.0,N,F,1997-10-11,1997-10-29,1997-10-27,NONE,SHIP,check packaging carefully
10280,1025,3,2,25,494,0.05,0.04,A,O,1996-12-24,1997-01-20,1997-01-12,TAKE BACK RETURN,MAIL,delayed by supplier
8835,1032,30,3,27,897,0.05,0.06,R,O,1996-06-08,1996-07-04,1996-06-23,TAKE BACK RETURN,TRUCK,check packaging carefully
18701,506,86,6,30,8,0.03,0.08,A,O,1996-05-08,1996-06-24,1996-06-06,COLLECT COD,RAIL,check packaging carefully
7947,792,35,6,45,853,0.0,0.01,A,O,1993-10-07,1993-12-05,1993-10-29,DELIVER IN PERSON,AIR,delayed by supplier
13465,1869,99,3,31,656,0.01,0.01,R,O,1994-06-20,1994-07-15,1994-07-18,DELIVER IN PERSON,RAIL,customer compliant regarding quality
5042,695,6,5,16,912,0.02,0.0,R,O,1996-06-04,1996-07-24,1996-06-17,TAKE BACK RETURN,MAIL,check packaging carefully
6020,525,25,4,18,431,0.0,0.06,R,O,1996-07-06,1996-07-31,1996-07-16,NONE,SHIP,delayed by supplier
12883,1336,19,1,47,614,0.04,0.06,A,O,1994-06-29,1994-07-14,1994-07-17,NONE,MAIL,delayed by supplier
16887,1165,1,5,8,208,0.01,0.08,A,F,1995-12-20,1996-02-16,1995-12-28,DELIVER IN PERSON,AIR,fragile items inside
13466,1492,39,5,36,683,0.0,0.01,N,O,1994-08-14,1994-08-27,1994-09-09,DELIVER IN PERSON,REG AIR,fragile items inside
17716,1225,21,1,37,999,0.02,0.0,N,O,1996-01-13,1996-03-05,1996-01-24,NONE,MAIL,customer compliant regarding quality
7469,265,48,6,48,807,0.0,0.06,N,F,1992-08-03,1992-08-29,1992-08-09,NONE,FOB,regular customer request
11633,1001,20,2,8,623,0.04,0.02,N,F,1997-09-10,1997-09-30,1997-09-24,DELIVER IN PERSON,AIR,fragile items inside
2695,1564,4,2,34,516,0.01,0.08,N,F,1995-10-27,1995-12-12,1995-10-30,DELIVER IN PERSON,MAIL,urgent delivery needed
14791,1680,31,1,49,897,0.0,0.0,R,O,1995-01-12,1995-02-13,1995-01-17,DELIVER IN PERSON,FOB,urgent delivery needed
18379,808,62,1,31,159,0.1,0.01,N,F,1994-07-20,1994-08-05,1994-08-14,DELIVER IN PERSON,REG AIR,urgent delivery needed
1617,1506,42,3,22,351,0.02,0.06,R,O,1995-07-06,1995-08-27,1995-07-21,COLLECT COD,TRUCK,regular customer request
16735,631,21,4,31,693,0.03,0.06,A,F,1996-03-01,1996-04-02,1996-03-17,COLLECT COD,SHIP,urgent delivery needed
16808,775,87,5,14,163,0.05,0.0,A,F,1994-01-30,1994-03-07,1994-02-07,COLLECT COD,REG AIR,check packaging carefully
14492,1160,37,5,33,792,0.1,0.04,N,F,1998-09-29,1998-11-21,1998-10-21,TAKE BACK RETURN,SHIP,check packaging carefully
16091,1558,66,3,2,198,0.02,0.08,N,F,1996-03-11,1996-04-03,1996-03-13,NONE,SHIP,urgent delivery needed
11199,1758,38,4,32,750,0.0,0.08,N,O,1998-07-03,1998-07-16,1998-07-14,COLLECT COD,REG AIR,delayed by supplier
